entry	verdict	runner	note
C10	RUNNER	ward.outbound_secret_pattern	every outbound route is named: MCP, WebFetch and WebSearch payloads alike
D1	OUT-OF-SUBJECT	-	reading a write back is a later act; ward decides the pending one
D2	RUNNER	ward.forbidden_location	an edit landing outside cwd is the wrong scope, denied before it lands
D3	OUT-OF-SUBJECT	-	pinning an identity inside work ward does not grade
D4	OUT-OF-SUBJECT	-	a stale derivative inside work ward does not regenerate
D8	OUT-OF-SUBJECT	-	magnitude of a system ward does not execute
D9	OUT-OF-SUBJECT	-	self-inclusion in a set, inside work ward does not compute
D11	OUT-OF-SUBJECT	-	an edit drowned in a rewrite is illusory progress, which is keel's and makoto's subject
D12	RUNNER	ward.forbidden_location	a write to a protected or out-of-cwd location is the boundary the copy would not survive
D13	OUT-OF-SUBJECT	-	enumerating a set before removing it is a sequence demand, not a denial of one act
D14	OUT-OF-SUBJECT	-	an undo's provability is a sequence demand, not a denial of one act
E1	RUNNER	tests row-witness invariant	every row carries an input that selects it, first-match-wins order included
E3	RUNNER	ward-allow annotation	an explicit intent marker is required to pass what would otherwise match
E4	RUNNER	ward.cert_verify_disabled	the platform's TLS posture is refused as inherited; verification is stated
E5	OUT-OF-SUBJECT	-	retry structure inside code ward does not execute
E7	RUNNER	ward.cert_reqs_none	the peer-verification condition is set explicitly rather than left ambient
E8	RUNNER	ward.cert_none_mode	each TLS setting is valid alone; this row denies the combination that disables the check
E9	OUT-OF-SUBJECT	-	a fallback's coverage of its own trigger, in code ward does not execute
E10	OUT-OF-SUBJECT	-	failure classification inside code ward does not execute
E11	OUT-OF-SUBJECT	-	nested limits of a host ward does not allocate
E12	RUNNER	ward.jwt_signature_disabled	the principal is the signature's; disabling verification is granting what you cannot hold
E13	OUT-OF-SUBJECT	-	a detached task's channel is not a field of the pending call
F1	RUNNER	tests table-shape invariant	the two mutation-text rows widen together or not at all; the pair is enumerated
F2	RUNNER	plugin/ward/checks.py	one ordered table; the dispatcher owns its sense and every consumer reads it
F3	OUT-OF-SUBJECT	-	a referent that moved, in work ward does not re-resolve
F4	RUNNER	ward.paramiko_host_key_weakened	a host key is taken from the primary artifact, never auto-added on description
F6	OUT-OF-SUBJECT	-	monotonicity of a state space ward does not walk
F7	OUT-OF-SUBJECT	-	a check-then-act race inside code ward does not execute
F8	OUT-OF-SUBJECT	-	alert suppression of a system ward does not emit
F10	OUT-OF-SUBJECT	-	trusting a record of an event, in work ward does not re-derive
F12	OUT-OF-SUBJECT	-	a discriminating observation between mechanisms, in work ward does not perform
F14	RUNNER	ward.jwt_none_alg	an allow-list declared safe that admits the unsigned algorithm is the class claim that changed behaviour
F16	OUT-OF-SUBJECT	-	a record's watermark, in work ward does not read
G1	OUT-OF-SUBJECT	-	answering a nearby question is a statement; ward denies acts
G2	OUT-OF-SUBJECT	-	asking a settled question is a statement; ward denies acts
G3	OUT-OF-SUBJECT	-	a party's span against the answer's is not a field of the pending call
G5	OUT-OF-SUBJECT	-	an epistemic "cannot" is a statement; ward denies acts
